type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS,seq_time,speedup,time_s,edp,power_efficiency,instantaneous_power,gflops,joules_per_gflop,cache_miss_rate
Parallel,7168,7,64,9503.143774,250.766603,9200549517,152772236,105226698754,70140349478,41376.450127,4.35397496986243,9.503143774,2383.07108202658,0.03789636921468366,26.38775219691841,77.50981241378828,3.2352884775578548,0.13117341994262255
Parallel,8192,7,64,14654.564949,388.454719,13836744112,215683149,157073539074,104698555985,62302.208832,4.251385766061338,14.654564949,5692.634909331045,0.03772528491023428,26.507420749225822,75.0286092833502,5.177421289164199,0.1321579269343731
Parallel,1024,8,64,21.797057,1.363287,25832359,425108,268435458,179449601,113.591071,5.211303113076229,0.021797056999999998,0.029715644446358994,0.0159886047472029,62.54454443092937,98.52172465301165,0.013837425246070604,0.14395328190225398
Parallel,2048,8,64,180.815445,7.043337,192406217,3296315,2147483650,1431401983,920.639072,5.0915953114514085,0.18081544500000002,1.2735441139399652,0.025671843474194125,38.953182345678485,95.01328376013453,0.0741300239425598,0.13441801763942365
Parallel,3072,8,64,614.035405,20.188119,642018387,12242015,7247757314,4830979026,3113.594459,5.070708355978268,0.614035405,12.396219826353194,0.030415681867141758,32.87777681158304,94.42787504411085,0.21379406229960551,0.13289612385909788
Parallel,4096,8,64,1559.108067,47.6753,1527837226,25558833,17179869186,11451151474,7472.435349,4.792762931038058,1.559108067,74.3309448266451,0.032702637780989315,30.578573101565514,88.15229449518331,0.5408288039808765,0.13342214793586268
Parallel,5120,8,64,3073.984426,90.315596,2936079763,49685071,33554432002,22367620634,14639.75145,4.7624676710056955,3.073984426,277.6287355289079,0.03403603100842074,29.38062900908139,87.32492387715175,1.034247635040089,0.13126473356477616
Parallel,6144,8,64,5420.317042,155.529615,5117216810,89084996,57982058498,38649712014,25542.947952,4.712445370644797,5.420317042,843.0198227201988,0.034850706998792474,28.693822482127793,85.57736832988745,1.8174152586751386,0.13239986906361428
Parallel,7168,8,64,8745.314237,245.132679,8154792689,134461453,92073361410,61370969952,41376.450127,4.731270827518464,8.745314237,2143.762307612651,0.035675840009075255,28.03017391449281,84.22646360123011,2.91039975464932,0.13287703771633555
Parallel,8192,8,64,13265.797619,365.827059,12167684559,200709384,137438953474,91609138775,62302.208832,4.69645404078586,13.265797619,4852.987728247973,0.03626248330362025,27.576710387624374,82.88319024264469,4.41376662661057,0.13282173287192328
Parallel,1024,8,128,27.65337,1.367636,20746439,313944,268435458,148109404,113.591071,4.107675520198804,0.02765337,0.03781974433332,0.020219831885092233,49.456395368810384,77.65721313532492,0.017611190831903368,0.1400750961093598
Parallel,2048,8,128,162.560485,6.839506,161863763,4118590,2147483650,1184092339,920.639072,5.663363221388027,0.162560485,1.1118334125204101,0.023767869346119443,42.07360724840357,105.6829350872077,0.06471722226825136,0.13669859830078673
Parallel,3072,8,128,566.265,19.430163,538960990,9152659,7247757314,3996287894,3113.594459,5.498475906157012,0.566265,11.002621251195,0.02914360522863344,34.31284469285582,102.39385887526159,0.18975906576262785,0.13486540617085982
Parallel,4096,8,128,1377.860447,44.15772,1272327244,22150059,17179869186,9472674104,7472.435349,5.423216382522373,1.377860447,60.84317581770084,0.03120316101012462,32.04803512296481,99.74809406224287,0.4426923683619013,0.13431553012709874
