type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS
Parallel,7168,16,128,8709.292433,225.488476,3648992148,607881430,46036680706,25166361119,0
Parallel,8192,16,128,14467.505517,359.661683,5948877547,1322887660,68719476738,37379762885,0
Parallel,1024,16,128,32.973146,1.339729,12245930,258025,134217742,84664598,0
Parallel,2048,16,128,167.841829,5.243076,85151450,1056689,1073741826,588366065,0
Parallel,3072,16,128,706.018737,19.757447,295553341,43355124,3623878658,1991270837,0
Parallel,4096,16,128,1597.493543,41.204901,684761296,21709096,8589934594,4854472019,0
Parallel,5120,16,128,3304.625457,86.652577,1347584239,243217700,16777216002,9164735394,0
Parallel,6144,16,128,5417.260097,137.711597,2332093885,313986796,28991029250,15832480432,0
Parallel,7168,16,128,9514.767271,248.360645,3786818649,671063353,46036680706,24926625364,0
Parallel,8192,16,128,14070.397079,340.862377,5904216433,380646530,68719476738,37776264723,0
Parallel,1024,16,128,29.390014,1.369665,12372041,204366,134217742,81705820,0
Parallel,2048,16,128,170.195331,5.347029,86247417,1000265,1073741826,589746414,0
Parallel,3072,16,128,698.719824,19.706012,297114674,43860746,3623878658,1998526780,0
Parallel,4096,16,128,1678.710776,43.863149,688972711,25700579,8589934594,4918412160,0
Parallel,5120,16,128,3132.440901,79.830329,1316659809,15323203,16777216002,9435124171,0
Parallel,6144,16,128,5308.626160,130.417831,2277516907,39000391,28991029250,16100316445,0
Parallel,7168,16,128,9328.697570,238.864371,3709534797,671085087,46036680706,25067604523,0
Parallel,8192,16,128,14868.828329,365.804950,5946829605,1412376612,68719476738,37779238554,0
Parallel,1024,16,128,65.086936,1.330543,11746654,2447263,134217742,94171689,0
Parallel,2048,16,128,180.488822,5.283724,85571527,3532216,1073741826,601439016,0
Parallel,3072,16,128,727.026557,20.123212,302650963,57005626,3623878658,1975596007,0
Parallel,4096,16,128,1657.221964,41.965725,687186292,28546381,8589934594,4885158761,0
Parallel,5120,16,128,3340.718313,84.964844,1324580904,32273936,16777216002,9518974725,0
Parallel,6144,16,128,5276.359707,126.670009,2274931090,32418404,28991029250,16019943264,0
Parallel,7168,16,128,9664.931907,245.693623,3615305783,53861137,46036680706,25216812858,0
Parallel,8192,16,128,14457.864210,348.832058,5998990017,902001063,68719476738,37226200773,0
Parallel,1024,16,128,27.674979,1.526441,12315050,2163417,134217742,75208513,0
Parallel,2048,16,128,172.846936,4.900427,84805178,1286385,1073741826,593848659,0
Parallel,3072,16,128,696.530321,18.833606,301006554,57169927,3623878658,1966988564,0
Parallel,4096,16,128,1589.444766,40.235056,684802331,24977963,8589934594,4843967284,0
Parallel,5120,16,128,3372.545425,86.878441,1377000999,239543725,16777216002,9309553832,0
Parallel,6144,16,128,5271.262553,127.989642,2272627514,46864684,28991029250,16077947477,0
Parallel,7168,16,128,8970.622095,224.954553,3604035376,59762278,46036680706,25226761635,0
Parallel,8192,16,128,14307.654623,329.496632,5812469154,114005642,68719476738,38104823413,0
Parallel,1024,16,128,27.427682,1.496474,12218285,2090439,134217742,74623052,0
Parallel,2048,16,128,192.557621,5.859652,87918251,9967468,1073741826,596637637,0
Parallel,3072,16,128,689.128539,18.654614,296685472,52339442,3623878658,1972009344,0
Parallel,4096,16,128,1560.839667,40.185971,686074308,27331635,8589934594,4785505608,0
Parallel,5120,16,128,3478.212474,91.610543,1327845864,30273439,16777216002,9583946058,0
Parallel,6144,16,128,5396.353892,134.529695,2284419083,41333875,28991029250,16055471607,0
Parallel,7168,16,128,10329.064383,273.449955,3802918549,777389451,46036680706,25324276063,0
Parallel,8192,16,128,15109.124153,367.739131,5879983749,152087312,68719476738,37921360911,0
Parallel,1024,16,128,69.699242,1.331764,11850149,2479770,134217742,95647421,0
Parallel,2048,16,128,173.633524,5.211813,85706807,1396332,1073741826,595474322,0
Parallel,3072,16,128,732.796987,20.540701,305649927,57866131,3623878658,1966988592,0
Parallel,4096,16,128,1594.817612,41.163902,696489474,74854271,8589934594,4686872313,0
Parallel,5120,16,128,3224.062358,82.887834,1323103910,16093047,16777216002,9453953535,0
Parallel,6144,16,128,5490.240166,134.994255,2283837921,45977133,28991029250,16392196774,0
Parallel,7168,16,128,8702.392852,215.128248,3607221151,51149907,46036680706,25328214194,0
Parallel,8192,16,128,14700.539214,355.977746,5855077809,137217886,68719476738,37518486867,0
Parallel,1024,16,128,36.514421,1.446840,11928180,2368850,134217742,77140535,0
Parallel,2048,16,128,168.418722,5.264895,85248686,1121204,1073741826,590148325,0
Parallel,3072,16,128,721.029324,20.145183,299750038,56097840,3623878658,1978401985,0
Parallel,4096,16,128,1563.653453,39.759846,688814270,39969008,8589934594,4746734079,0
Parallel,5120,16,128,3413.796650,88.733296,1334909111,76483351,16777216002,9574900286,0
Parallel,6144,16,128,5365.666110,132.269542,2277459837,31327884,28991029250,16175158152,0
Parallel,7168,16,128,9990.547168,264.631532,3759609753,720349783,46036680706,24972284731,0
Parallel,8192,16,128,14500.756801,348.791120,5820416960,122614742,68719476738,38457667808,0
Parallel,1024,16,128,27.598114,1.543362,12703333,910472,134217742,80024793,0
Parallel,2048,16,128,188.500180,5.562319,86562253,2951985,1073741826,604937926,0
Parallel,3072,16,128,709.131435,19.175278,295366603,39504130,3623878658,2008343504,0
Parallel,4096,16,128,1630.926732,42.191330,686003048,27948703,8589934594,4851161919,0
Parallel,5120,16,128,3600.769861,97.116865,1383972193,251942071,16777216002,9274787271,0
Parallel,6144,16,128,5346.046831,131.943021,2275802348,30975914,28991029250,16102126909,0
Parallel,7168,16,128,9762.709576,254.414882,3713195792,670309691,46036680706,25030831314,0
Parallel,8192,16,128,14205.523003,358.800170,5466192629,122517422,68719476738,37896457661,0
Parallel,1024,16,128,40.607958,1.310891,12340155,171188,134217742,87461108,0
Parallel,2048,16,128,169.621003,5.511037,86158262,1377685,1073741826,590272624,0
Parallel,3072,16,128,723.693841,20.846395,297446620,44827720,3623878658,2031368021,0
Parallel,4096,16,128,1606.671208,42.844983,701338545,110686832,8589934594,4671241145,0
Parallel,5120,16,128,3408.159769,92.740367,1378272447,227763394,16777216002,9306857138,0
Parallel,6144,16,128,5262.113908,129.625697,2272000504,43854220,28991029250,16027594886,0
Parallel,7168,16,128,8797.221808,225.241892,3689804791,441906678,46036680706,25322926438,0
Parallel,8192,16,128,13143.661426,323.718747,5414624036,164239569,68719476738,37514096787,0
Parallel,1024,12,128,73.095169,1.564753,11279140,1854817,134217742,94477166,0
Parallel,1024,12,128,50.438446,1.505507,12203942,2084757,134217742,93523911,0
Parallel,2048,12,128,224.419996,7.385406,86221122,9806833,1073741826,584087603,0
Parallel,1024,12,128,42.936063,1.366659,11727181,2217945,134217742,75484876,0
Parallel,1024,12,128,44.702768,2.460902,13243908,2352404,134217742,110418883,0
Parallel,2048,12,128,183.428465,6.953635,87216155,4975089,1073741826,603080003,0
Sequential,1024,16,64,157.730486,3.954035,191486377,1352733,2147483650,1414124146,0
Sequential,2048,16,64,1278.359359,28.520040,1530479003,8292043,17179869186,11308838273,0
Parallel,1024,8,128,34.198226,2.034121,16362782,378569,180355086,147342568,0
Parallel,2048,8,128,230.717835,7.843284,111847952,19112083,1434451970,781489376,0
Parallel,1024,12,128,44.825560,2.672240,12600762,2173598,134217742,105948522,0
Parallel,2048,12,128,191.689656,7.010562,81454694,10907505,1073741826,604840262,0
Parallel,1024,8,128,54.646230,1.653784,10825435,240637,134217742,137790631,0
Parallel,2048,8,128,256.125692,8.021267,82136239,9473543,1073741826,662859134,0
