type,blockSize,size,time,,,,,,,,,,
Sequential,32,8192,1133495.836,,6144,478796.594,516331.1152,479261.904,1474389.613,,,,
Sequential,64,1024,2451.075152,,7168,753923.8233,818678.6016,762591.3988,2335193.824,,,,
Sequential,64,2048,19336.34828,,8192,1133495.836,1222326.162,1149646.454,3505468.452,,,,
Sequential,64,3072,65854.35191,,Grand Total,2863300.154,3103916.221,2899069.431,8866285.806,,,,
Sequential,64,4096,156950.7648,,,,,,,,,,
Sequential,64,5120,301987.8024,,,32,64,128,,,,,
Sequential,64,6144,516331.1152,,1024,,2451.075152,2217.678518,,,,,
Sequential,64,7168,818678.6016,,2048,17144.29653,19336.34828,18500.86167,,,,,
Sequential,64,8192,1222326.162,,3072,58028.41271,65854.35191,62511.42464,,,,,
Sequential,128,1024,2217.678518,,4096,142728.5591,156950.7648,144042.311,,,,,
Sequential,128,2048,18500.86167,,5120,279182.6326,301987.8024,280297.3979,,,,,
Sequential,128,3072,62511.42464,,6144,478796.594,516331.1152,479261.904,,,,,
Sequential,128,4096,144042.311,,7168,753923.8233,818678.6016,762591.3988,,,,,
Sequential,128,5120,280297.3979,,8192,1133495.836,1222326.162,1149646.454,,,,,
Sequential,128,6144,479261.904,,,,,,,,,,
Sequential,128,7168,762591.3988,,,,,,,,,,
Sequential,128,8192,1149646.454,,,,,,,,,,
